,Model,Sum_Sharpe,Mean_Reward,Std_Reward,Sharpe_obtained,Sharpe A2C
100000,100000,761.5448509094444,0.0,-91.0,,2.680589461886192
105000,105000,753.4835392164027,0.0,-89.0,,2.2128534925599372
110000,110000,775.6891607314866,0.0,-97.0,,2.3960095480369255
115000,115000,644.877168133866,0.0,-95.0,,2.4111019894257173
120000,120000,725.7549452260446,0.0,-107.0,,2.315613359321476
125000,125000,719.5241680121679,0.0,-109.0,,2.38653989466273
130000,130000,746.5797699019902,0.0,-99.0,,2.6785519290621718
135000,135000,751.0787571582501,0.0,-91.0,,2.317924177420405
140000,140000,803.2663989596795,0.0,-69.0,,3.647586571409449
145000,145000,758.4697646396982,0.0,-89.0,,1.4309238978555776
150000,150000,844.5635260800902,0.0,-27.0,,1.1058269807853285
155000,155000,712.8892389317584,0.0,-25.0,,1.871291732251973
160000,160000,807.7274957249514,0.0,-59.0,,2.359119046137365
165000,165000,742.8420549762869,0.0,-87.0,,2.3826714641092344
170000,170000,820.3116202433993,0.0,-55.0,,2.8142522139133765
175000,175000,855.3840526228107,0.0,-61.0,,2.5112416687193426
180000,180000,802.8835918993186,0.0,-75.0,,1.3446553925788323
185000,185000,862.465710448602,0.0,-51.0,,2.165312973810816
190000,190000,806.6384719384243,0.0,-67.0,,2.879972039490633
195000,195000,857.4527832387898,0.0,-69.0,,3.2205921809785076
200000,200000,759.6642612818922,0.0,-97.0,,3.100490910662667
205000,205000,770.5379881204891,0.0,-105.0,,3.418475878768832
210000,210000,778.404574821049,0.0,-103.0,,2.8549723277583725
215000,215000,764.0200463063763,0.0,-101.0,,2.677373028764853
220000,220000,756.916756772177,0.0,-107.0,,2.164149729644772
225000,225000,766.4876808048926,0.0,-111.0,,3.376608853441572
230000,230000,807.0846250729553,0.0,-79.0,,2.7024490629052864
235000,235000,770.2441469951355,0.0,-93.0,,2.743420823159428
240000,240000,805.9616345808801,0.0,-77.0,,3.033708439856708
245000,245000,908.9618413439539,0.0,-37.0,,2.5517314638759396
250000,250000,825.2826275173577,0.0,-75.0,,2.044840381666553
255000,255000,846.8719362738057,0.0,-63.0,,2.644873133713674
260000,260000,896.9000843047722,0.0,-43.0,,2.746262407158648
265000,265000,834.9984971038512,0.0,-69.0,,2.3463540471592905
270000,270000,828.5343777566142,0.0,-73.0,,2.0651241396896562
275000,275000,858.3718049940503,0.0,-53.0,,2.3016965776376193
280000,280000,853.4372088437739,0.0,-53.0,,1.923697639966046
285000,285000,871.6780520479838,0.0,-49.0,,2.0638510350392516
290000,290000,862.3293208219279,0.0,-49.0,,2.152231114507149
295000,295000,844.0867850297134,0.0,-65.0,,2.3267819248371078
300000,300000,846.2222127583284,0.0,-65.0,,2.1372774932683094
305000,305000,737.2835115886127,0.0,-93.0,,2.632228010322805
310000,310000,751.4047943384315,0.0,-73.0,,2.497388285816659
315000,315000,768.032358054624,0.0,-83.0,,2.30408092609101
320000,320000,795.534523439972,0.0,-75.0,,3.0514717720493727
325000,325000,796.0095528856099,0.0,-71.0,,3.1601293663471077
330000,330000,797.2598362967342,0.0,-89.0,,3.345983818974189
335000,335000,779.6342875550126,0.0,-93.0,,2.9688939564650285
340000,340000,782.482852009728,0.0,-79.0,,2.7129741117595567
345000,345000,789.1517468333175,0.0,-81.0,,3.2206984487340096
350000,350000,832.8459793161077,0.0,-65.0,,3.5430578242096242
355000,355000,791.0560501294002,0.0,-63.0,,3.609707419626377
360000,360000,770.4671032828927,0.0,-67.0,,3.381419249056602
365000,365000,781.620144932032,0.0,-63.0,,3.031065731507272
370000,370000,780.744276211497,0.0,-63.0,,3.203252939613036
375000,375000,776.9800534609435,0.0,-59.0,,2.84594755323877
380000,380000,755.7861097610155,0.0,-55.0,,3.3040959273627575
385000,385000,798.6963919454648,0.0,-63.0,,3.2540845424460523
390000,390000,781.8705718305499,0.0,-69.0,,3.1023841979095024
395000,395000,757.268928910743,0.0,-71.0,,3.2958531253449586
400000,400000,819.3340755493218,0.0,-63.0,,3.238216575527621
405000,405000,729.5241164794459,0.0,-67.0,,3.1028372102362773
410000,410000,812.6032709027841,0.0,-57.0,,2.7944523175727864
415000,415000,827.2790296137314,0.0,-43.0,,2.6036567286877035
420000,420000,801.91577282024,0.0,-73.0,,2.2519393472258353
425000,425000,817.607935427375,0.0,-63.0,,3.0331438090507024
430000,430000,802.3635005892388,0.0,-59.0,,2.743082734347236
435000,435000,819.8341235186786,0.0,-43.0,,2.9916380846605417
440000,440000,852.5618081852828,0.0,1.0,,2.3033786052409044
445000,445000,844.6312623830197,0.0,-1.0,,2.16680055509639
450000,450000,883.2884595392827,0.0,5.0,,2.3939497468948803
455000,455000,815.1180909657617,0.0,-39.0,,2.7934401065373136
460000,460000,678.5121317304047,0.0,-63.0,,3.007941977906833
465000,465000,685.515648351879,0.0,-59.0,,3.058664903925137
470000,470000,723.0810929632892,0.0,-33.0,,4.233071050438037
475000,475000,657.9702858744814,0.0,-63.0,,2.461952527547563
480000,480000,661.0397386468555,0.0,-63.0,,2.448636918308611
485000,485000,729.1499507718385,0.0,1.0,,2.0236795869216815
490000,490000,835.2114284288159,0.0,15.0,,2.0921115003030994
495000,495000,802.6549221388295,0.0,-55.0,,2.4946890849780012
500000,500000,731.3070419794174,0.0,-63.0,,2.3619650222209083
505000,505000,713.3796535859319,0.0,-63.0,,2.4811861701137667
510000,510000,639.4920941192885,0.0,-63.0,,2.3775133597979434
515000,515000,730.882413413801,0.0,-57.0,,2.5289156053533755
520000,520000,738.5386145155223,0.0,-29.0,,2.584437256546777
525000,525000,786.9353830264232,0.0,-39.0,,2.3112923391078066
530000,530000,784.4902176040562,0.0,-41.0,,2.5727915775334735
535000,535000,793.2007363647855,0.0,-55.0,,2.5634767533481515
540000,540000,775.2500101554349,0.0,-49.0,,2.3758857105241664
545000,545000,789.9819237237848,0.0,-41.0,,2.5142886795207917
550000,550000,779.4815908447041,0.0,-59.0,,2.397855914774263
555000,555000,857.3719834917729,0.0,-19.0,,3.2468967379160936
560000,560000,813.4831031792463,0.0,-5.0,,2.6119025806384895
565000,565000,862.7107285887676,0.0,19.0,,1.652280383190349
570000,570000,859.2094707147455,0.0,-5.0,,2.0380952745644842
575000,575000,833.0408735307037,0.0,-15.0,,2.5747667410564543
580000,580000,769.5145762460681,0.0,-35.0,,2.423046902086306
585000,585000,767.8181079496005,0.0,-3.0,,0.7169568764790841
590000,590000,731.4641950970984,0.0,-37.0,,2.787859910929212
595000,595000,680.6436887870691,0.0,-55.0,,2.3729083544103977
600000,600000,734.5691072027932,0.0,-47.0,,2.412901755345202
