,k_entry,k_exit,EMA_days_12,EMA_days_26,STD_rw,MXMN_rw,Sharpe,Daily_returns_ROVI,Position_ROVI
100,0.85,0.55,3,30,50,26,0.7874877183491791,-0.0020366598778003286,1.0
101,0.85,0.55,3,30,50,26,0.4480334317041628,-0.005102040816326592,0.0
102,0.85,0.55,3,30,50,26,1.1088501150783645,0.0,0.0
103,0.85,0.55,3,30,50,26,0.7874877183491791,0.01025641025641022,0.0
104,0.85,0.55,3,30,50,26,0.8946347353081842,-0.009137055837563413,-1.0
105,0.85,0.55,3,30,50,26,0.6659306850159715,0.0030737704918031294,0.0
106,0.85,0.55,3,30,50,26,0.7179286764528999,-0.004085801838610736,-1.0
107,0.85,0.55,3,30,50,26,0.7179286764528999,0.006153846153846176,0.0
108,0.85,0.55,3,30,50,26,0.46332549094023584,0.006116207951070152,-1.0
109,0.85,0.55,3,30,50,26,0.3942481717850728,-0.012158054711246091,0.0
110,0.85,0.55,3,30,50,26,0.31105035392589697,0.0010256410256410664,-1.0
111,0.85,0.55,3,30,50,26,0.6420256375786777,-0.026639344262295084,-1.0
112,0.85,0.55,3,30,50,26,0.36888790881977734,0.021052631578947212,-1.0
113,0.85,0.55,3,30,50,26,0.9143716716843804,-0.010309278350515427,-1.0
114,0.85,0.55,3,30,50,26,0.6450035986493837,-0.01041666666666663,-1.0
115,0.85,0.55,3,30,50,26,0.6331988384076395,0.0052631578947368585,-1.0
116,0.85,0.55,3,30,50,26,0.7864459493082769,-0.006282722513089034,-1.0
117,0.85,0.55,3,30,50,26,4.587160783875428,0.011591148577449806,0.0
118,0.85,0.55,3,30,50,26,4.644243421503723,0.0,0.0
119,0.85,0.55,3,30,50,26,2.91934857580824,0.06458333333333344,-1.0
120,0.85,0.55,3,30,50,26,3.1239894929425915,-0.021526418786692814,0.0
121,0.85,0.55,3,30,50,26,2.7932773778237787,0.030000000000000027,0.0
122,0.85,0.55,3,30,50,26,0.1316969087401261,0.006796116504854233,0.0
123,0.85,0.55,3,30,50,26,-0.3709043114808608,-0.005785920925747257,0.0
124,0.85,0.55,3,30,50,26,2.8248728757163883,0.0038797284190106307,-1.0
125,0.85,0.55,3,30,50,26,3.6132785550007114,0.0,0.0
126,0.85,0.55,3,30,50,26,3.391150347452202,-0.05314009661835739,-1.0
127,0.85,0.55,3,30,50,26,2.808735030336034,0.006122448979591688,-1.0
128,0.85,0.55,3,30,50,26,2.5996992893193993,0.013184584178498993,-1.0
129,0.85,0.55,3,30,50,26,2.845482612790287,-0.014014014014014031,-1.0
130,0.85,0.55,3,30,50,26,3.333738821442602,0.015228426395939021,-1.0
131,0.85,0.55,3,30,50,26,-1.0843927609025856,0.016000000000000014,0.0
132,0.85,0.55,3,30,50,26,-0.3711277466097994,-0.011811023622047334,0.0
133,0.85,0.55,3,30,50,26,-0.3711277466097994,-0.014940239043824577,0.0
134,0.85,0.55,3,30,50,26,-0.49346081244870776,-0.009100101112234582,1.0
135,0.85,0.55,3,30,50,26,1.5964497966608633,-0.011224489795918502,0.0
136,0.85,0.55,3,30,50,26,-0.09956161575062546,-0.024767801857585203,0.0
137,0.85,0.55,3,30,50,26,1.7864828561979766,0.004232804232804366,0.0
138,0.85,0.55,3,30,50,26,0.37784151748045774,0.0031612223393044925,0.0
139,0.85,0.55,3,30,50,26,1.839093746238092,-0.004201680672268782,1.0
140,0.85,0.55,3,30,50,26,1.0954855834337323,-0.0052742616033756295,0.0
141,0.85,0.55,3,30,50,26,0.3030780281118329,-0.04347826086956519,1.0
142,0.85,0.55,3,30,50,26,0.39039500883452755,-0.009977827050997812,0.0
143,0.85,0.55,3,30,50,26,0.8227974997974884,-0.014557670772676223,0.0
144,0.85,0.55,3,30,50,26,0.8398236151338008,0.011363636363636243,0.0
145,0.85,0.55,3,30,50,26,3.836135443811236,0.003370786516853963,-1.0
146,0.85,0.55,3,30,50,26,0.4332638936670181,0.007838745800671898,1.0
147,0.85,0.55,3,30,50,26,0.3292007144734515,0.004444444444444251,1.0
148,0.85,0.55,3,30,50,26,0.4196722814860194,-0.009955752212389313,1.0
149,0.85,0.55,3,30,50,26,-0.30803109236263254,-0.029050279329608908,1.0
150,0.85,0.55,3,30,50,26,2.8713181067980558,0.011507479861910141,-1.0
151,0.85,0.55,3,30,50,26,6.5317444023286395,-0.010238907849829282,-1.0
152,0.85,0.55,3,30,50,26,6.917641396513554,-0.05402298850574705,-1.0
153,0.85,0.55,3,30,50,26,4.12124414064293,0.03280680437424044,-1.0
154,0.85,0.55,3,30,50,26,4.320946756555652,-0.0117647058823529,-1.0
155,0.85,0.55,3,30,50,26,4.178358708431607,-0.01309523809523827,-1.0
156,0.85,0.55,3,30,50,26,3.2225063673348284,-0.010856453558504175,-1.0
157,0.85,0.55,3,30,50,26,0.6079919047428125,-0.0024390243902439046,1.0
158,0.85,0.55,3,30,50,26,0.8733378189759283,-0.009779951100244544,0.0
159,0.85,0.55,3,30,50,26,-0.2421803689331658,0.024691358024691468,1.0
160,0.85,0.55,3,30,50,26,1.52461390138694,0.012048192771084265,1.0
161,0.85,0.55,3,30,50,26,0.10836279007295631,0.0,1.0
162,0.85,0.55,3,30,50,26,1.8052557894149137,0.016666666666666607,1.0
163,0.85,0.55,3,30,50,26,3.0586633938087413,0.042154566744730726,1.0
164,0.85,0.55,3,30,50,26,2.4032078012717584,0.015730337078651457,1.0
165,0.85,0.55,3,30,50,26,0.9937447258915245,0.0,1.0
166,0.85,0.55,3,30,50,26,3.1960518650859115,0.021017699115044364,1.0
167,0.85,0.55,3,30,50,26,2.601228424753134,-0.01625135427952329,1.0
168,0.85,0.55,3,30,50,26,2.8240505281565373,0.0011013215859030367,1.0
169,0.85,0.55,3,30,50,26,2.633078574269775,-0.00990099009900991,1.0
170,0.85,0.55,3,30,50,26,2.5016183714402254,0.006666666666666821,1.0
171,0.85,0.55,3,30,50,26,2.4524955108144626,-0.01655629139072856,1.0
172,0.85,0.55,3,30,50,26,0.36286408310218216,-0.002244668911335568,0.0
173,0.85,0.55,3,30,50,26,2.3281002165266984,0.0011248593925758943,0.0
174,0.85,0.55,3,30,50,26,2.5602010045272756,0.011235955056179803,1.0
175,0.85,0.55,3,30,50,26,0.7861010735407751,-0.007777777777777772,0.0
176,0.85,0.55,3,30,50,26,5.207728444488858,0.005599104143337197,0.0
177,0.85,0.55,3,30,50,26,5.764369690486966,-0.00111358574610243,-1.0
178,0.85,0.55,3,30,50,26,3.6691984908236144,-0.0078037904124861335,-1.0
179,0.85,0.55,3,30,50,26,3.796836197314507,0.022471910112359383,0.0
180,0.85,0.55,3,30,50,26,5.7671633885894655,-0.005494505494505364,-1.0
181,0.85,0.55,3,30,50,26,0.5873524226467367,-0.009944751381215422,0.0
182,0.85,0.55,3,30,50,26,2.876059218832314,0.0379464285714286,0.0
